FID,t_nr,vejnavn,beskrivelse,husnummer,taellested_type,kode_type,spolestation_type,ogc_fid,wkb_geometry
taellestationer.1014,9760,NØRREBROGADE-KAPELVEJ_PETER FABERS GADE,nordvest for Stengade,42,Øvrige,101.0,,1014,POINT (12.554551125321796 55.690551670129516)
taellestationer.1015,9761,GULDBERGSGADE-AHORNGADE-BIRKEGADE,KRYDSTÆLLING,9,Øvrige,101.0,,1015,POINT (12.558625017079532 55.69138740730665)
taellestationer.1016,9762,TÅSINGEGADE,Tåsinge Plads OPHOLD,43,Øvrige,100.0,,1016,POINT (12.56805980393434 55.710078485481866)
taellestationer.1017,9763,ISRAELS PLADS - SYD,OPHOLD,,Øvrige,100.0,,1017,POINT (12.568448158556254 55.683031912375036)
taellestationer.1018,9764,SLESVIGGADE,"Alsgade-Slesvigsgade, SØ",21,Øvrige,100.0,,1018,POINT (12.540657682585366 55.66491746577163)
taellestationer.1019,9765,HILLERØDGADE,Bispeengen Legeplads,23B,Øvrige,100.0,,1019,POINT (12.535983728999168 55.695582903915415)
taellestationer.1020,9766,SLESVIGGADE,"Alsgade-Slesvigsgade, NV",6,Øvrige,100.0,,1020,POINT (12.540530604743852 55.66503377081361)
taellestationer.1021,9767,BLEGDAMSVEJ,Blegdamsremisen  Legeplads (indendørs),132A,Øvrige,100.0,,1021,POINT (12.57655779360609 55.69874113469632)
taellestationer.1022,9768,BREDEGRUND,Byggelegepladsen Bredegrund,8,Øvrige,100.0,,1022,POINT (12.613600713930337 55.65866777583292)
taellestationer.1023,9769,BREDEGRUND,Bredegrund Legeplads,8,Øvrige,100.0,,1023,POINT (12.61311116010784 55.65895052091255)
taellestationer.1024,9770,MØLLEGADE,ByOasen Legeplads,25C,Øvrige,100.0,,1024,POINT (12.557487429151768 55.69260186978393)
taellestationer.1025,9771,CIRKELBROEN,OPHOLD,,Øvrige,100.0,,1025,POINT (12.58378729899741 55.67244720894826)
taellestationer.1026,9773,GRØNDAL TORV,OPHOLD,,Øvrige,100.0,,1026,POINT (12.513221143333421 55.6930883758429)
taellestationer.1027,9774,GRØNDAL TORV - LEGEPLADS,OPHOLD,,Øvrige,100.0,,1027,POINT (12.512943992762022 55.69333055859112)
taellestationer.1028,9775,GUNLØGSGADE - LEGEPLADS,OPHOLD,,Øvrige,100.0,,1028,POINT (12.579733563399214 55.6646344344056)
taellestationer.1029,9776,HANS TAVSENS GADE,Hans Tavsens Park Vest Legeplads,40,Øvrige,100.0,,1029,POINT (12.545083832376907 55.69016920705268)
taellestationer.1030,9777,HANS TAVSENS GADE,Hans Tavsens Park Øst Legeplads,4,Øvrige,100.0,,1030,POINT (12.54949456530027 55.688467768531254)
taellestationer.1031,9778,VOGNMANDSMARKEN,Kildevældsparken Legeplads,69,Øvrige,100.0,,1031,POINT (12.565199266376675 55.714382889881506)
taellestationer.1032,9779,LERGRAVSVEJ,Lergravsparken Legeplads,16,Øvrige,100.0,,1032,POINT (12.618398039558267 55.66230576116999)
taellestationer.1033,9780,BORGMESTERVANGEN,Mimersparken Legeplads,51,Øvrige,100.0,,1033,POINT (12.541237486818089 55.704571988313305)
taellestationer.1034,9781,MOZARTS PLADS,OPHOLD,1,Øvrige,100.0,,1034,POINT (12.534211739993628 55.64870452213526)
taellestationer.1035,9782,STEFANSGADE,Nørrebroparken Legeplads,30,Øvrige,100.0,,1035,POINT (12.542225053941713 55.69472576242395)
taellestationer.1036,9783,PEDER LYKKES VEJ,Remiseparken Bondegårdslegeplads,71,Øvrige,100.0,,1036,POINT (12.598052739710443 55.65277808066886)
taellestationer.1037,9784,PEDER LYKKES VEJ,Remiseparken Byggelegeplads,73,Øvrige,100.0,,1037,POINT (12.596641931963045 55.65247620589902)
taellestationer.1038,9785,WESSELSGADE,Wesselsgade Legeplads,12,Øvrige,100.0,,1038,POINT (12.559558103094604 55.68599053062252)
taellestationer.1039,9786,NØRRE FARIMAGSGADE,Ørstedsparken Legeplads,2,Øvrige,100.0,,1039,POINT (12.564783682957836 55.68072615878411)
taellestationer.1040,9787,ASSISTENS KIRKEGÅRD,OPHOLD,,Øvrige,100.0,,1040,POINT (12.548457404998874 55.69109235852151)
