database_id,TS,VEJNAVN,ÅR,DATO,KATEGORI,SUM ANTAL,ÅDT,HDT
6339,14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2020,2020-08-25,CYKLER + KNALLERTER I ALT,4749,4900.0,5800.0
6438,14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2021,2021-06-03,A+B: KØRETØJER I ALT,16009,18700.0,21000.0
6438,14,FREDERIKSSUNDSVEJ 356 v.f. Mørkhøjvej,2021,2021-06-03,CYKLER + KNALLERTER I ALT,3589,3700.0,4400.0
6580,14,FREDERIKSSUNDSVEJ 356 vest for Mørkhøjvej,2022,2022-05-10,A+B: KØRETØJER I ALT,15480,18100.0,20300.0
6580,14,FREDERIKSSUNDSVEJ 356 vest for Mørkhøjvej,2022,2022-05-10,CYKLER + KNALLERTER I ALT,3627,3700.0,4400.0
6731,14,FREDERIKSSUNDSVEJ 356 vest for Mørkhøjvej,2023,2023-05-11,A+B: KØRETØJER I ALT,14623,17100.0,19200.0
6731,14,FREDERIKSSUNDSVEJ 356 vest for Mørkhøjvej,2023,2023-05-11,CYKLER + KNALLERTER I ALT,3402,3500.0,4200.0
5519,16,Gl. Køge Landevej s.f. Vigerslevvej ,2013,2013-04-17,A+B: KØRETØJER I ALT,12100,14200.0,15900.0
5519,16,Gl. Køge Landevej s.f. Vigerslevvej ,2013,2013-04-17,CYKLER + KNALLERTER I ALT,2956,3000.0,3600.0
5663,16,GL KØGE LANDEVEJ 220A syd for Vigerslevvej ,2014,2014-05-27,A+B: KØRETØJER I ALT,12587,14700.0,16500.0
5663,16,GL KØGE LANDEVEJ 220A syd for Vigerslevvej ,2014,2014-05-27,CYKLER + KNALLERTER I ALT,3246,3300.0,4000.0
5801,16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej ,2015,2015-04-29,A+B: KØRETØJER I ALT,12358,14500.0,16200.0
5801,16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej ,2015,2015-04-29,CYKLER + KNALLERTER I ALT,2744,2800.0,3300.0
5832,16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2016,2016-05-10,A+B: KØRETØJER I ALT,12937,15100.0,16900.0
5832,16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2016,2016-05-10,CYKLER + KNALLERTER I ALT,3807,3900.0,4600.0
5956,16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2017,2017-05-10,A+B: KØRETØJER I ALT,14023,16400.0,18400.0
5956,16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2017,2017-05-10,CYKLER + KNALLERTER I ALT,2271,2300.0,2800.0
6069,16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2018,2018-06-12,A+B: KØRETØJER I ALT,12818,15000.0,16800.0
6069,16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2018,2018-06-12,CYKLER + KNALLERTER I ALT,3844,4000.0,4700.0
6219,16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2019,2019-05-08,A+B: KØRETØJER I ALT,12932,15100.0,16900.0
6219,16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2019,2019-05-08,CYKLER + KNALLERTER I ALT,2744,2800.0,3300.0
6341,16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2020,2020-06-25,A+B: KØRETØJER I ALT,13420,15700.0,17600.0
6341,16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2020,2020-06-25,CYKLER + KNALLERTER I ALT,4623,4800.0,5600.0
6440,16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2021,2021-06-01,A+B: KØRETØJER I ALT,12790,15000.0,16800.0
6440,16,GL. KØGE LANDEVEJ 220A s.f. Vigerslevvej,2021,2021-06-01,CYKLER + KNALLERTER I ALT,3699,3800.0,4500.0
6582,16,GL. KØGE LANDEVEJ 220A syd for Vigerslevvej,2022,2022-05-04,A+B: KØRETØJER I ALT,12353,14500.0,16200.0
6582,16,GL. KØGE LANDEVEJ 220A syd for Vigerslevvej,2022,2022-05-04,CYKLER + KNALLERTER I ALT,3874,4000.0,4700.0
6732,16,GL. KØGE LANDEVEJ 220A syd for Vigerslevvej,2023,2023-05-10,A+B: KØRETØJER I ALT,12030,14100.0,15800.0
6732,16,GL. KØGE LANDEVEJ 220A syd for Vigerslevvej,2023,2023-05-10,CYKLER + KNALLERTER I ALT,3484,3600.0,4300.0
5453,18,Grøndals Parkvej nø.f. Peter Bangs Vej ,2013,2013-05-14,A+B: KØRETØJER I ALT,15999,18700.0,21000.0
5453,18,Grøndals Parkvej nø.f. Peter Bangs Vej ,2013,2013-05-14,CYKLER + KNALLERTER I ALT,1688,1700.0,2100.0
5584,18,GRØNDALS PARKVEJ nord for Peter Bangs Vej ,2014,2014-05-14,A+B: KØRETØJER I ALT,14555,17000.0,19100.0
5584,18,GRØNDALS PARKVEJ nord for Peter Bangs Vej ,2014,2014-05-14,CYKLER + KNALLERTER I ALT,1510,1600.0,1800.0
5727,18,GRØNDALS PARKVEJ n.f. Peter Bangs Vej ,2015,2015-06-10,A+B: KØRETØJER I ALT,14536,17000.0,19000.0
5727,18,GRØNDALS PARKVEJ n.f. Peter Bangs Vej ,2015,2015-06-10,CYKLER + KNALLERTER I ALT,2077,2100.0,2500.0
5833,18,GRØNDALS PARKVEJ n.f. Peter Bangs Vej,2016,2016-04-27,A+B: KØRETØJER I ALT,14670,17200.0,19200.0
5833,18,GRØNDALS PARKVEJ n.f. Peter Bangs Vej,2016,2016-04-27,CYKLER + KNALLERTER I ALT,1026,1100.0,1300.0
5958,18,GRØNDALS PARKVEJ n.f. Peter Bangs Vej,2017,2017-04-26,A+B: KØRETØJER I ALT,14394,16800.0,18900.0
5958,18,GRØNDALS PARKVEJ n.f. Peter Bangs Vej,2017,2017-04-26,CYKLER + KNALLERTER I ALT,1391,1400.0,1700.0
6074,18,GRØNDALS PARKVEJ n.f. Peter Bangs Vej,2018,2018-05-31,A+B: KØRETØJER I ALT,12445,14600.0,16300.0
