række,database_id,TS,VEJNAVN,ÅR,DATO,RETNING,KATEGORI,ANTAL 7-8,ANTAL 8-9,ANTAL 9-10,ANTAL 10-11,ANTAL 11-12,ANTAL 12-13,ANTAL 13-14,ANTAL 14-15,ANTAL 15-16,ANTAL 16-17,ANTAL 17-18,ANTAL 18-19,SUM ANTAL,ANTAL 7-8_PERCENT,ANTAL 8-9_PERCENT,ANTAL 9-10_PERCENT,ANTAL 10-11_PERCENT,ANTAL 11-12_PERCENT,ANTAL 12-13_PERCENT,ANTAL 13-14_PERCENT,ANTAL 14-15_PERCENT,ANTAL 15-16_PERCENT,ANTAL 16-17_PERCENT,ANTAL 17-18_PERCENT,ANTAL 18-19_PERCENT,SUM ANTAL_PERCENT
138531,5792,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej ,2015,05/27/2015,MOD SYD (TINGBJERG),"VAREVOGNE (MAX. 3,5 t)",47,37,26,31,42,34,26,54,45,37,34,31,444,0.15309446254071662,0.13602941176470587,0.1511627906976744,0.24603174603174602,0.2346368715083799,0.19767441860465115,0.15028901734104047,0.2109375,0.1271186440677966,0.08851674641148326,0.136,0.14832535885167464,0.15373961218836565
138533,5792,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej ,2015,05/27/2015,MOD SYD (TINGBJERG),LASTBILER,3,4,3,2,0,3,1,1,2,1,0,0,20,0.009771986970684038,0.014705882352941176,0.01744186046511628,0.015873015873015872,0.0,0.01744186046511628,0.005780346820809248,0.00390625,0.005649717514124294,0.0023923444976076554,0.0,0.0,0.006925207756232687
138534,5792,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej ,2015,05/27/2015,MOD SYD (TINGBJERG),BUSSER,10,6,4,3,3,4,4,6,8,7,4,4,63,0.03257328990228013,0.022058823529411766,0.023255813953488372,0.023809523809523808,0.01675977653631285,0.023255813953488372,0.023121387283236993,0.0234375,0.022598870056497175,0.01674641148325359,0.016,0.019138755980861243,0.021814404432132964
138536,5792,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej ,2015,05/27/2015,MOD SYD (TINGBJERG),A+B: KØRETØJER I ALT,307,272,172,126,179,172,173,256,354,418,250,209,2888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
138537,5792,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej ,2015,05/27/2015,MOD SYD (TINGBJERG),CYKLER + KNALLERTER I ALT,33,24,11,4,3,11,11,28,44,69,30,16,284,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140586,5871,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej,2016,04/28/2016,Mod nord (Gladsaxe),PERSONBILER + MC,290,299,131,133,121,148,168,200,255,267,232,192,2436,0.8285714285714286,0.8494318181818182,0.7401129943502824,0.751412429378531,0.7333333333333333,0.7589743589743589,0.7466666666666667,0.78125,0.827922077922078,0.8612903225806452,0.8436363636363636,0.8888888888888888,0.810379241516966
140587,5871,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej,2016,04/28/2016,Mod nord (Gladsaxe),"VAREVOGNE (MAX. 3,5 t)",55,43,41,38,38,43,46,49,46,36,35,16,486,0.15714285714285714,0.12215909090909091,0.23163841807909605,0.21468926553672316,0.23030303030303031,0.2205128205128205,0.20444444444444446,0.19140625,0.14935064935064934,0.11612903225806452,0.12727272727272726,0.07407407407407407,0.16167664670658682
140589,5871,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej,2016,04/28/2016,Mod nord (Gladsaxe),LASTBILER,0,4,1,2,3,2,6,2,1,1,0,1,23,0.0,0.011363636363636364,0.005649717514124294,0.011299435028248588,0.01818181818181818,0.010256410256410256,0.02666666666666667,0.0078125,0.003246753246753247,0.0032258064516129032,0.0,0.004629629629629629,0.007651363938789089
140590,5871,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej,2016,04/28/2016,Mod nord (Gladsaxe),BUSSER,5,6,4,4,3,2,5,5,6,6,8,7,61,0.014285714285714285,0.017045454545454544,0.022598870056497175,0.022598870056497175,0.01818181818181818,0.010256410256410256,0.022222222222222223,0.01953125,0.01948051948051948,0.01935483870967742,0.02909090909090909,0.032407407407407406,0.020292747837658016
140592,5871,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej,2016,04/28/2016,Mod nord (Gladsaxe),A+B: KØRETØJER I ALT,350,352,177,177,165,195,225,256,308,310,275,216,3006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
140593,5871,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej,2016,04/28/2016,Mod nord (Gladsaxe),CYKLER + KNALLERTER I ALT,37,45,16,9,8,3,7,11,19,14,14,10,193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150298,6263,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej,2019,05/09/2019,Mod nord (Gladsaxe),PERSONBILER + MC,330,416,190,116,127,135,182,211,262,289,239,207,2704,0.8418367346938775,0.8353413654618473,0.7307692307692307,0.7295597484276729,0.7559523809523809,0.75,0.8088888888888889,0.7700729927007299,0.8136645962732919,0.8704819277108434,0.8754578754578755,0.8922413793103449,0.8156862745098039
150299,6263,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej,2019,05/09/2019,Mod nord (Gladsaxe),"VAREVOGNE (MAX. 3,5 t)",52,70,57,37,35,38,38,57,53,37,24,18,516,0.1326530612244898,0.14056224899598393,0.21923076923076923,0.23270440251572327,0.20833333333333334,0.2111111111111111,0.1688888888888889,0.20802919708029197,0.16459627329192547,0.11144578313253012,0.08791208791208792,0.07758620689655173,0.15565610859728507
150301,6263,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej,2019,05/09/2019,Mod nord (Gladsaxe),LASTBILER,4,6,7,2,2,4,2,2,1,0,2,0,32,0.01020408163265306,0.012048192771084338,0.026923076923076925,0.012578616352201259,0.011904761904761904,0.022222222222222223,0.008888888888888889,0.0072992700729927005,0.003105590062111801,0.0,0.007326007326007326,0.0,0.009653092006033183
150302,6263,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej,2019,05/09/2019,Mod nord (Gladsaxe),BUSSER,6,6,6,4,4,3,3,4,6,6,8,7,63,0.015306122448979591,0.012048192771084338,0.023076923076923078,0.025157232704402517,0.023809523809523808,0.016666666666666666,0.013333333333333334,0.014598540145985401,0.018633540372670808,0.018072289156626505,0.029304029304029304,0.03017241379310345,0.019004524886877826
150304,6263,544,HØJE GLADSAXEVEJ nø.f. Hareskovvej,2019,05/09/2019,Mod nord (Gladsaxe),A+B: KØRETØJER I ALT,392,498,260,159,168,180,225,274,322,332,273,232,3315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
