Dataejer,X-koordinat,Y-koordinat,Bestyrer,Adm.vejnr,Vejdel,Kilometer,Meter,Lokalitet,Vejnavn,Køretøjsart,År,StedId,Talte dage,ÅDT,HDT,JDT,HDT,Gennemsnitshastighed,Æ10 Høj,Æ10 Lav,Lastbil ÅDT,o. 1250 ÅDT,Lastbil %,15% hast.-fraktil,85% hast.-fraktil,% over hastighedsgr.,% o. hastgr + 10km/t,% o. hastgr + 20km/t,Hastighedsgrænse,Største time,Største time datotid,Morgen spids time,Morgen spids st. tid,Efterm. spids time,Efterm. spids st. t.
0,725038,6177982,101,1011204,0,0,350,sø.f Øster Farimagsgade,Dag Hammerskjölds Allé,MOTORKTJ,2014,65-DHA,",5",12231,14032,10300,14032,,437,260,603,120,"4,9",,,,,,,1.145,02.09.2014 08:00,,:,1105,16:00
101,722898,6178211,101,1011208,0,0,30,ud for nr 24-26,Dagmarsgade,MOTORKTJ,2014,10112080,"1,9",690,775,580,775,"25,2",24,12,61,1,"8,8","14,8","34,1","30,1","3,8",",5",30,81,21.02.2014 08:00,77,08:00,75,16:00
101,725901,6178460,101,1011246,0,0,0,Damfærgevej 24,Damfærgevej,MOTORKTJ,2023,1011246-02,"8,9",1268,1531,1041,1531,"35,6",36,20,65,16,"5,1","26,9","44,1","3,7",",4",",1",50,173,31.03.2023 07:45,141,08:10,135,15:45
101,725907,6178512,101,1011246,000,0,0,Dampfærgevej 24,Dampfærgevej,MOTORKTJ,2023,1011246-01,"13,7",1191,1479,977,1479,"33,1",37,20,76,16,"6,4","25,2","41,1","1,3",",1",",1",50,165,09.02.2023 08:15,146,08:01,128,15:33
101,725894,6178407,101,1011246,0,0,310,Ved nr. 26,Damfærgevej,MOTORKTJ,2015,03111246,"9,7",1898,2202,1595,2202,"31,5",122,72,326,7,"17,2","21,8","40,8",2,",4",",1",50,226,11.12.2015 15:00,210,08:00,201,15:45
101,721146,6179373,101,1011312,0,0,800,Ml. Frederiksborgvej og Bispevej,Dortheavej,MOTORKTJ,2014,10113120,"9,9",505,581,469,581,"30,7",6,4,15,1,"2,9","21,7",39,"1,9",",2",0,50,76,24.03.2014 15:00,58,08:00,65,15:00
0,724006,6176972,101,1011358,0,0,65,Midt på Dr. Louises Bro,Dr. Louises Bro ( ml. Nørrebrogade og Frederiksborggade),MOTORKTJ,2012,5-DRL,",5",5067,5813,4267,5813,,617,401,1009,22,"19,9",,,,,,50,651,11.09.2012 16:00,,:,651,16:00
101,723952,6177005,101,1011358,0,0,128,Ml. Søtorvet og Peblinge Dossering,Dr. Louises Bro ( ml. Nørrebrogade og Frederiksborggade),MOTORKTJ,2017,00000601,"8,9",5391,5778,4405,5778,"21,1",793,455,910,130,"16,9","14,9","26,7",",2",0,0,40,461,20.09.2017 15:00,417,07:53,427,14:27
101,720243,6177204,101,1011384,000,0,185,Ud for nr. 13,Dybendalsvej,MOTORKTJ,2021,20112103,"7,9",104,116,85,116,"15,8",1,0,1,0,",8","11,4","19,5",0,0,0,30,19,25.11.2021 10:45,13,08:09,12,15:33
101,723638,6178104,101,1011748,000,0,21,Ud for nr. 1,Fensmarkgade,MOTORKTJ,2019,10011912,8,512,570,420,570,"11,2",10,5,23,0,"4,5","7,5","14,4",0,0,0,30,72,11.01.2019 14:45,40,08:10,58,15:12
101,722760,6177092,101,1011840,000,0,87,Helt op til Rantzausgade,Florsgade,MOTORKTJ,2020,18022001,"9,9",172,189,141,189,"15,9",7,3,17,0,10,"11,3","19,8",",1",0,0,30,30,20.02.2020 17:15,19,07:40,22,16:05
0,725856,6178041,101,1011872,0,0,584,Syd for Indiakaj,Folke Bernadottes Allé,MOTORKTJ,2013,68-FBA,",5",19630,22760,16497,22760,,944,531,1016,448,"5,2",,,,,,50,1.686,24.09.2013 15:00,,:,1686,15:00
101,727205,6176744,101,1011878,000,0,205,Ml. Norddyssen og Margretheholmsvej,Forlandet,MOTORKTJ,2021,09112110,"7,2",3886,4102,3176,4102,"35,9",79,35,99,47,"2,5","30,5","41,4","19,4",",8",0,40,472,12.11.2021 17:30,338,07:48,360,15:57
0,724441,6177480,101,1011906,0,0,50,Øst (mod byen),Fredensbro,MOTORKTJ,2014,69-FBRO,",5",30259,34714,25481,34714,,977,599,1430,199,"4,7",,,,,,50,2.832,16.09.2014 08:00,,:,2702,16:00
101,724361,6177546,101,1011906,000,0,154,"Fredensbro, husnr ingen",Fredensbro,MOTORKTJ,2016,MAN00069,",5",34648,39750,29177,39750,,1019,658,1320,133,"3,8",,,,,,,3.306,20.09.2016 08:00,,:,3303,16:00
